policy,mean_waiting_time,mean_turnaround_time,mean_slowdown
SJF,1398080.8954,1402292.9652,150.96729793773602
SJF-PRED-RF,3827553.576,3831765.6458,20554.850772023095
SJF-PRED-XGB,4674152.434,4678364.5038,29755.901141870057
SJF-PRED-LGBM,5287759.6768,5291971.7466,37512.473164694566
FIFO,10071329.3266,10075541.3964,93756.97584272602
