model,mae,rmse,r2,medae,mape,smape,pearson,over_pct,under_pct
LightGBM,4917.357045036746,15532.188226956863,0.039063987174380754,1633.568835553043,2718.1824430796196,128.1982891402038,0.3322234074443374,72.77621122789029,27.223788772109714
RandomForest,4162.763744983979,15300.959747759704,0.06746202738881624,971.6600704216553,2148.5724078028697,108.62659571698543,0.3874066315017213,77.55703665726736,22.442963342732632
XGBoost,4565.944834886896,15469.785040273533,0.046769921177948426,1450.8818664550781,2359.4014440205283,124.13106157093084,0.3626795669518422,75.31402204562933,24.685977954370674
