policy,mean_waiting_time,p50_waiting_time,p90_waiting_time,p99_waiting_time,mean_turnaround_time,p50_turnaround_time,p90_turnaround_time,p99_turnaround_time,mean_slowdown,p50_slowdown,p90_slowdown,p99_slowdown,speedup_waiting_vs_FIFO,speedup_turnaround_vs_FIFO,speedup_slowdown_vs_FIFO
SJF,1398080.8954,859.0,5179971.300000008,14816109.200000027,1402292.9652,1155.5,5189202.300000009,14880254.960000027,150.96729793773602,9.802083333333332,505.22496148607433,574.0595294210212,7.203681389064777,7.185047380568576,621.0416237389011
SJF-PRED-RF,3827553.576,1803569.5,10805419.100000001,18581735.190000013,3831765.6458,1804148.0,10815528.9,18625841.580000017,20554.850772023095,2245.7545145159756,49018.73750000006,261106.1281250003,2.6312706345250123,2.6294774596781005,4.561306568585614
SJF-PRED-XGB,4674152.434,2800751.0,11741750.500000002,18560796.690000013,4678364.5038,2828412.5,11745752.200000003,18623059.82,29755.901141870057,5273.468548178766,80434.14085714288,304457.6304968946,2.154685682336906,2.15364608469822,3.1508699869552568
SJF-PRED-LGBM,5287759.6768,3788488.0,12045366.1,18545856.25000001,5291971.7466,3790262.5,12046336.3,18634711.26,37512.473164694566,8340.804824944234,108403.90714285719,343683.12875000003,1.904649594948097,1.90392955194316,2.4993546928003356
FIFO,10071329.3266,9758756.5,17553629.000000004,20075690.45,10075541.3964,9764373.0,17561142.8,20076902.940000016,93756.97584272602,25422.645833333332,285338.6942857143,693290.1604000002,1.0,1.0,1.0
